"index","product_name_en"
712,"Equipment bodybuilding an"
713,"Other (collection of coin"
714,"Rental and repair of sports, photographic and music equipment, passport fees"
715,"Books and pamphlets"
716,"Posters, greeting cards,"
717,"Local newspapers"
718,"Mat - sleeping or for drying maize flour"
719,"Construction timber"
720,"Lobola (bridewealth) costs"
721,"Tuna (fresh/frozen) , large fish (size of a full arm or bigger)"
722,"Marriage ceremony costs"
723,"Funeral costs, household members"
724,"Insurance - health (MASM, etc.), auto, home, life"
725,"Sports & hobby equipment, musical instruments, toys"
726,"Film, film processing, camera"
727,"Grass for thatching roof or other use"
728,"Woodpoles, bamboo"
729,"READY-TO-EAT SANDWICHES, PIZZAS AND EMPANADAS, SOLD IN SUPERMARKETS, WAREHOUSES AND THE LIKE"
730,"READY-TO-EAT PACKAGED SWEET PRODUCTS PURCHASED FROM STREET VENDORS AND VENDING MACHINES"
731,"Nondairy cream and imitation milk"
732,"Other medical analyses n.e.a."
733,"Software video games"
734,"INSTRUMENTAL BOX"
735,"Girls' underwear and sleepwear"
736,"Lotteries and pari-mutuel losses"
737,"Women''s vests and sweaters"
738,"Garlic bread"
739,"Whole wheat bread"
740,"Gasoline"
741,"Girls' hosiery"
742,"butter anchor"
743,"Margarine"
744,"Checking accounts, other bank service charges"
745,"Sausage"
746,"Bologna, liverwurst, salami"
747,"Margarine"
748,"Includes any non-frozen prepared desserts not priced elsewhere in Food at Home. Items generally include refrigerated or shelf-stable packaged desserts."
749,"Rent"
750,"Butter"
751,"Dry cleaning, bleaching and dyeing of men's clothes"
752,"Other fats nes (lard, lard, margarine, etc.)"
753,"Salt, spices, other seasonings"
754,"Baby food"
755,"Artisanal or industrial fruit juice"
756,"Men's Underwear "
757,"Women's Sports Shoes "
758,"Wardrobe, sideboard, dresser, shelves"
759,"Food And Non-Alcoholic Beverages - Food - Oils and fats - Edible oils (excludes cod or halibut liver oil)"
760,"DIVING FINS; MASK - DIVING; FINS ( MOODHAHEREN); DIVE MASK; FINS"
761,"Garden supplies and services - Interview"
762,"PAINTING BRUSH"
763,"CALENDAR; CALENDER"
764,"Printing"
765,"White bread"
766,"Biscuits and rolls"
767,"Crackers"
768,"White bread"
769,"Bread, other than white"
770,"sweet banana"
771,"Frozen vegetables"
772,"Vehicle insurance"
773,"READY-TO-EAT SANDWICHES, PIZZAS, EMPANADAS AND THE LIKE, PURCHASED FROM STREET VENDORS AND VENDING MACHINES"
774,"READY-TO-DRINK NON-ALCOHOLIC BEVERAGES, PURCHASED FROM STREET VENDORS AND VENDING MACHINES"
775,"Shawls, tie"
776,"Physician's services"
777,"Pet services"
778,"Dried fish"
779,"Hiring of clothes"
780,"Personal care service for females (old)"
781,"Hospital care not specified"
782,"Children's Winter clothes"
783,"Other alcoholic beverages at full service restaurants"
784,"Homeowners insurance"
785,"Parts, equipment, and accessories"
786,"Vehicle registration"
787,"Newsletters"
788,"can of tuna"
789,"LUNCH AND DINNER BOTH TAKEAWAY AND DELIVERY, PURCHASED IN RESTAURANTS AND THE LIKE"
790,"Smoked fish/ Yemeni fish/ grilled fish"
791,"Canned fish and seafood"
792,"Material for Women's skirt "
793,"Utility - natural gas"
794,"Ladies Underwear "
795,"Academic fees, higher education or public university"
796,"Ladies jacket/coat/sweater/cardigan "
797,"Other ladies clothing "
798," Pastry"
799,"Cotton fabrics for childr"
800,"Woolen fabrics for childr"
801,"Clothing accessories (purses, hats, wallets)"
802,"Products for making clothes (fabrics, yarns, wool)"
803,"Imputed rent"
804," White bread"
805,"Sweetened or unsweetened condensed whole milk"
806,"Other roast"
807,"Unprocessed liquid fresh milk"
808,"Food And Non-Alcoholic Beverages - Food - Oils And Fats - 115038"
809,"Food And Non-Alcoholic Beverages - Food - Oils And Fats - 115040"
810,"Date"
811,"Canned miscellaneous vegetables"
